"","ID","Site","Reliability","Type.Fortea"
"1",1130,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"2",1525,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"3",2150,"Cova Or",100,"G1. Segmento o media luna"
"4",2444,"Cova Or",100,"G3. Trapecio asimétrico"
"5",869,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"6",2442,"Cova Or",100,"G1. Segmento o media Luna"
"7",2457,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"8",2201,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"9",2186,"Cova Or",100,"G2. Trapecio simétrico"
"10",328,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"11",871,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"12",697,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"13",2213,"Cova Or",100,"G4. Trapecio rectángulo o de Vielle"
"14",1535,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"15",2253,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"16",2117,"Cova Or",100,"G3. Trapecio asimétrico"
"17",2226,"Cova Or",100,"G9. Triángulo isósceles"
"18",2838,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"19",1532,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"20",2256,"Cova Or",100,"G3. Trapecio asimétrico"
"21",2454,"Cova Or",100,"G2. Trapecio simétrico"
"22",915,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"23",2197,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"24",601,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"25",1175,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"26",114,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"27",2430,"Cova Or",100,"G3. Trapecio asimétrico"
"28",1356,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"29",2113,"Cova Or",100,"G2. Trapecio simétrico"
"30",2170,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"31",2116,"Cova Or",100,"G4. Trapecio rectángulo o de Vielle"
"32",718,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"33",2381,"Cova Or",100,"G3. Trapecio asimétrico"
"34",2203,"Cova Or",100,"G2. Trapecio simétrico"
"35",2370,"Cova Or",100,"G9. Triángulo isósceles"
"36",545,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"37",2228,"Cova Or",100,"No figura"
"38",1601,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"39",2378,"Cova Or",100,"G1. Segmento o media Luna"
"40",2195,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"41",2257,"Cova Or",100,"G3. Trapecio asimétrico"
"42",2143,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"43",2131,"Cova Or",100,"G3. Trapecio asimétrico"
"44",2259,"Cova Or",100,"G3. Trapecio asimétrico"
"45",120,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"46",2112,"Cova Or",100,"G2. Trapecio simétrico"
"47",2231,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"48",2214,"Cova Or",100,"G2. Trapecio simétrico"
"49",2424,"Cova Or",100,"G2. Trapecio simétrico"
"50",1661,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"51",1112,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"52",346,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"53",541,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"54",1312,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"55",2124,"Cova Or",100,"G3. Trapecio asimétrico"
"56",1597,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"57",2447,"Cova Or",100,"G4. Trapecio rectángulo"
"58",1225,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"59",1730,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"60",1321,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"61",1115,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"62",2252,"Cova Or",100,"G3. Trapecio asimétrico"
"63",491,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"64",2431,"Cova Or",100,"G3. Trapecio asimétrico"
"65",2419,"Cova Or",100,"G3. Trapecio asimétrico"
"66",1408,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"67",1355,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"68",1884,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"69",2440,"Cova Or",100,"G4. Trapecio rectángulo"
"70",2426,"Cova Or",100,"G1. Segmento o media Luna"
"71",1537,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"72",2828,"Cova Or",100,"G3. Trapecio asimétrico"
"73",1657,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"74",2223,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"75",1594,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"76",1320,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"77",2249,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"78",600,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"79",630,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"80",1103,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"81",261,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"82",2194,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"83",2371,"Cova Or",100,"G3. Trapecio asimétrico"
"84",1729,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"85",2374,"Cova Or",100,"G2. Trapecio simétrico"
"86",2171,"Cova Or",100,"G2. Trapecio simétrico"
"87",2199,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"88",1459,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"89",2187,"Cova Or",100,"G2. Trapecio simétrico"
"90",603,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"91",2451,"Cova Or",100,"G2. Trapecio simétrico"
"92",2833,"Cova Or",100,"G1. Segmento o media Luna"
"93",1464,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"94",1648,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"95",632,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"96",544,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"97",1666,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
